graphId,agent_prompt,whatItDoesText,keyFeatures,forTeamsLike,example_queries,curatorURL,topics,geography,byTheNumbers
beauty-goes-digital-state-of-global-beauty-in-2026,"CRITICAL: Use this graph for strategic analysis of the beauty industry's future, focusing on digital transformation, consumer behavior shifts, and emerging market trends for 2026.","This graph provides a strategic overview of the global beauty industry's trajectory towards 2026, detailing the critical shifts driven by digital technology and evolving consumer expectations. It explores the convergence of AI, wellness, social commerce, and the tension between luxury and affordability, offering insights for brands to navigate the future market.","- Analysis of AI's role in personalizing beauty and enhancing customer engagement.
- Exploration of the convergence between the beauty and wellness industries.
- Insights into the rise of social commerce and the power of viral marketing.
- Breakdown of the dynamic between premiumization and consumer demand for affordability.
- Examination of how global brands are localizing products and marketing for diverse cultures.
- The resurgence and changing consumer perception of the fragrance market.","- Brand Strategy & Marketing
- Product Innovation & Development
- Consumer Insights & Market Research
- E-commerce & Digital Experience
- Venture Capital & Investment","- How is AI being integrated into the beauty industry to enhance customer engagement?
- What are the key trends in the convergence of beauty and wellness?
- How can beauty brands effectively leverage social commerce and viral trends?
- What strategies are brands using to balance affordability with a premium Brand image?
- Show me examples of successful localization in the global beauty market.",,"- beauty Tech
- Consumer Behavior
- Digital Transformation
- Retail & E-commerce
- Wellness
- Marketing & Branding",Global,"- Identifies a major trend in the convergence of the beauty and Wellness sectors.
- Highlights the growing influence of AI and Digital-first strategies in Brand outreach.
- Details the increasing role of social media as a primary channel for commerce and Brand engagement.
- Analyzes the Market tension between premium Product offerings and Consumer demand for affordability.
- Covers the strategic shift towards localizing products for diverse global markets."
forrester-predictions2026_b2bmarketing,"CRITICAL: Use this graph for Forrester's 2026 predictions on how AI and evolving buyer behaviors will fundamentally reshape B2B marketing, sales, and payment systems.","This graph outlines Forrester's five key predictions for the B2B landscape in 2026. It focuses on the disruptive impact of AI on commercial applications, buyer-seller interactions, and payment processes, while also highlighting the enduring value of human expertise and the strategic shift towards influencer relations.","- AI-Driven Negotiations
- Rise of Influencer Relations
- Automated Payment Workflows
- Generative AI Governance
- Human Expertise Validation","- B2B Marketing & Sales
- Corporate Strategy
- Financial Operations
- Risk & Compliance","- How will AI agents change B2B payment workflows by 2026?
- What are the predicted financial risks of ungoverned Generative AI in B2B?
- Why are 75% of B2B enterprises expected to increase their influencer relations budgets?
- How will B2B sales negotiations evolve with the introduction of AI-powered buyer agents?
- What is the role of human expertise in a B2B landscape with widespread AI adoption?",,"- B2B Marketing
- Artificial Intelligence
- Sales Automation
- Influencer Marketing
- Fintech",Global,"- 75% of B2B enterprises will increase budgets for influencer relations.
- AI agents will be present in about one-third of B2B payment workflows by the end of 2026.
- 20% of B2B sellers will be compelled to respond to AI-powered buyer agents.
- Ungoverned Generative AI in commercial apps will result in the loss of more than $10 billion in enterprise value."
tipping-points,"CRITICAL: Use this graph for understanding the emerging cultural reactions against mainstream digital life, including the return to privacy, the rejection of 'hustle culture,' and the search for more meaningful, tangible experiences. It's essential for brand strategists, product innovators, and marketers looking to align with the next wave of consumer sentiment.","This graph, curated by Jay Gallagher for Edelman, explores four significant cultural reactions that are challenging established norms and pushing society toward a tipping point. It delves into the growing movement towards digital privacy ('Keeping Secrets'), the rejection of hyper-connectivity in favor of a 'Quieter Life,' the surprising embrace of 'Friction as a Feature' in a world obsessed with convenience, and the cycle of 'Rot to Renewal' where periods of decay are seen as necessary for future growth.","- Analyzes the shift from public online sharing to private, more controlled digital engagement.
- Identifies the growing consumer desire for tangible, less convenient experiences as a way to reconnect with the physical world.
- Explores the concept of 'wellness burnout' and the rejection of oversaturated health trends.
- Examines the societal shift from 'hustle culture' to periods of rest and decay as precursors to innovation and renewal.","- Brand Strategy
- Innovation & Product Development
- Consumer Insights
- Marketing & Communications","- How is the concept of 'convenience' changing?
- What are the signs of 'wellness burnout' among consumers?
- How are people creating more private online spaces?
- What is the 'Rot to Renewal' trend and how does it impact business?
- What are the implications of consumers seeking a 'quieter life' online?",,"- Digital Culture
- Consumer Behavior
- Wellness
- Privacy
- Brand Strategy",Global,"- Shift from hyper-connectivity to a 'quieter' digital life as a reaction to the high consequences of living in public.
- Growing preference for 'friction' and tangible experiences over the relentless pursuit of seamless convenience.
- Emergence of 'wellness burnout' as consumers reject oversaturated health messaging and products.
- Trend towards embracing fallow periods of 'rot' and decay as essential precursors to renewal and growth, moving past the 'hustle era'."
world-economic-forum-sports,"CRITICAL: Use this graph for understanding the intersection of the global sports economy with environmental sustainability and social equity. It provides insights into key growth drivers, investment opportunities, and sustainability challenges facing the sports industry.","This knowledge graph, based on World Economic Forum insights, explores the evolving landscape of the global sports economy. It details the industry's potential to drive inclusive prosperity and foster environmental sustainability by highlighting key growth areas like sports tourism and women's sports, while also addressing critical challenges such as water scarcity, sustainable infrastructure, and the need for ethical investment. The graph serves as a strategic tool for stakeholders looking to navigate the opportunities and responsibilities within the expanding world of sports.","- Analyzes the economic growth drivers in sports, including tourism and the emergence of sports as a financial asset class.
- Investigates the environmental impact of the sports industry, focusing on water stewardship, sustainable infrastructure, and circular business models.
- Highlights opportunities for social inclusion and equity, such as the rapid growth of women's professional sports and development in emerging economies.
- Examines the role of strategic investment, sponsorship, and public-private partnerships in shaping a more sustainable and equitable sports ecosystem.","- Investment firms and Financial analysts specializing in the sports sector.
- Urban planners and municipal governments developing city infrastructure and tourism strategies.
- Sustainability and ESG consultants working with sports leagues, teams, and sponsors.
- sports Marketing agencies and Corporate sponsors looking to create ethical and impactful partnerships.","- What are the main economic trends driving the global sports economy?
- How is the sports industry addressing environmental challenges like water scarcity?
- What is the projected revenue growth for women's professional sports?
- Explore the role of sports in the economic development of emerging markets.
- How can cities leverage green and blue spaces to enhance their sports economy?",,"- sports Economy
- sustainable Development
- environmental, social, and Governance (ESG)
- Investment Strategy
- Urban Development","Global, with a focus on emerging economies in Asia-Pacific, Africa, and Latin America.","- Sports tourism is forecast to account for 60% of total sports economy revenue growth until 2030.
- Women's professional sport revenues are projected to reach $2.35 billion in 2025, more than triple the 2022 figure.
- By 2030, global demand for fresh water is expected to exceed supply by 40%.
- Over 300 major new stadiums are expected to be constructed worldwide in the next decade.
- The NBA's Los Angeles Lakers were valued at $10 billion in a landmark 2025 transaction."
ilo-employment-and-social-trends,"CRITICAL: Use this graph for analyzing global employment quality, decent work deficits, and labor market trends. NOTE: The graph is currently unresponsive to queries.","This graph is intended to provide Fodda's analysis of global employment quality challenges and decent work deficit patterns, based on the work of Marva Corley-Coulibaly, Ekkehard Ernst, Richard Horne, Stefan Kühn, Iuliia Privalikhina and Miguel Sanchez Martinez. However, it is currently inaccessible for analysis, preventing a full profile.","- Inaccessible
- Unresponsive to queries
- Profiling failed due to data retrieval errors","- economic Research
- Labor Policy Analysis
- social Science Research
- International Development agencies","- Unable to determine due to graph error.
- What are the main global employment trends?
- Show data on decent work deficits.",,"- employment
- Labor
- social trends
- decent work
- Economics",Global,- Statistical analysis could not be performed due to an error accessing the graph's data.
mintel-2026_global_consumer_predictions,"CRITICAL: Use this graph for understanding the three core consumer mindsets—Anti-Algorithm, The New Young, and The Affection Deficit—to develop forward-thinking brand strategies for 2026.","This graph identifies and analyzes three pivotal consumer trends that will shape brand strategy and consumer interaction by 2026. It explores the consumer pushback against algorithmic control, the redefinition of age and life stages, and the growing societal need for genuine connection in an increasingly automated world.","- Anti-Algorithm: Details the consumer desire for more control over their digital experiences and a push for human empowerment over algorithmic efficiency.
- The New Young: Explores the blurring of traditional life stages and the opportunities in catering to an extended 'middle of life' as consumers redefine what it means to be young.
- The Affection Deficit: Analyzes how consumers are retreating into personal bubbles and how brands can foster genuine, everyday connections.","- Brand Strategy
- Marketing & Advertising
- Product Innovation
- Futures & Foresight","- What is the 'Anti-Algorithm' trend?
- How are consumers redefining the concept of 'young'?
- What is 'The Affection Deficit' and how can brands address it?
- What are the key consumer predictions for 2026?",,"- Consumer Behavior
- Brand Strategy
- Digital Culture
- Demographics",Global,"- 3 critical consumer trends identified for 2026
- Outlines trend evolution to the year 2030
- Focus on the 'extended middle of life' as a key demographic shift"
2026-macro-trend-graph,"CRITICAL: Use this graph for identifying and understanding the nuanced cultural shifts that are shaping future consumer behavior. It's essential for developing strategies that resonate with a market increasingly skeptical of corporate messaging and fatigued by digital saturation. Focus on the backlash against AI-driven homogeneity and the pivot towards genuine, human-centric values.","This graph provides a qualitative analysis of emerging macro trends for 2026, focusing on the cultural counter-reactions to technology and societal pressures. It helps users understand the shift from performative consumerism to more integrated and authentic value systems, offering a framework for interpreting subtle signals in the market.","- Identifies a cultural shift towards 'Aspirational Humanity' as a direct response to AI's prevalence.
- Analyzes the rise of 'Subversive Sincerity,' where earnestness becomes a form of rebellion.
- Defines 'Subtle Sustainability,' a trend where environmental benefits are secondary to cultural value and personal expression.","- Brand Strategy
- Innovation and R&D
- Consumer Insights
- Marketing and Advertising","- How is the rise of AI influencing consumer desires for authenticity?
- What are the new drivers of sustainable consumption beyond 'greenwashing'?
- Show me examples of brands that are embracing sincerity as a core value.
- What does the trend 'Aspirational Humanity' mean for product design?
- How can our brand connect with consumers experiencing eco-fatigue?",,"- Consumer Behavior
- Artificial Intelligence
- Sustainability
- Brand Strategy
- cultural trends",Global,"- This graph is qualitative and focuses on conceptual trends rather than quantitative metrics.
- It identifies 3 major macro trends: Aspirational Humanity, Subtle Sustainability, and Subversive Sincerity."
deloitte-life-sciences-trends,"CRITICAL: Use this graph for in-depth analysis of the five key technology trends shaping the future of the life sciences and healthcare industries. Essential for strategic planning, market analysis, and innovation roadmapping.","This graph provides a detailed analysis of five pivotal technology trends that are fundamentally reshaping the life sciences and healthcare sectors. Curated by Deloitte, it explores the impact, adoption, and strategic implications of these trends, offering insights for leaders, innovators, and investors.","- in-depth exploration of five core technology trends.
- Analysis of the impact on healthcare and life sciences.
- strategic Insights from industry experts at Deloitte.","- Life Sciences Strategy & Innovation
- Healthcare Technology Assessment
- Pharmaceutical R&D and Commercial
- Venture Capital & Private Equity","- What are the five key technology trends in life sciences?
- How is technology transforming healthcare delivery?
- What are the strategic recommendations from Deloitte on adopting New life Sciences tech?",https://www.deloitte.com,"- life Sciences
- healthcare
- technology trends
- Digital Transformation",Global,"- Analysis of 5 key technology trends.
- Covers multiple sub-sectors within life sciences and healthcare.
- Insights curated by a leading global professional services firm."
tiktok-the-art-and-science-of-authenticity-2026,"CRITICAL: Use this graph for developing authentic creator marketing strategies in the APAC region, focusing on balancing genuine connection with scalable content production.",This graph provides a strategic framework for brands and marketers to navigate the creator economy in the APAC region. It outlines how to effectively leverage TikTok by balancing the 'Art of Authenticity' (embracing imperfection and genuine connection) with the 'Science of Authenticity' (using data and tools to measure impact) to achieve scalable and authentic content through 'Compound Creativity'.,"- Art of Authenticity: Focuses on creators who choose being 'flawsome' over polished, building genuine brand affinity.
- Science of Authenticity: Details how new signals and tools can track authenticity's impact on the consumer funnel.
- Compound Creativity: Explains how to combine creator artistry with technology to scale content volume, variety, and velocity without losing authenticity.","- Brand Marketing teams
- social media Strategists
- Creator Partnership Managers
- Digital Advertising agencies","- How can my brand appear more authentic in APAC?
- Strategies for scaling creator content on TikTok.
- How to measure the ROI of authenticity in creator campaigns?
- What is 'Compound Creativity'?",,"- Creator Economy
- Brand Authenticity
- social media Marketing
- TikTok Strategy
- Influencer Marketing",APAC,"- 3 core frameworks for creator collaborations: Art of Authenticity, Science of Authenticity, and Compound Creativity.
- Identifies a shift towards 'flawsome' creators who build genuine brand affinity over polished perfection.
- Highlights the use of new signals and tools to track authenticity's impact across the marketing funnel."
wgsn-future-consumer-2027-emotions,"CRITICAL: Use this graph for understanding the emotional drivers of consumer behavior in 2027, focusing on the psychological shifts that will shape brand engagement, product development, and marketing strategies.","This graph provides an in-depth analysis of the six key emotions that will drive consumer behavior in 2027. It explores the underlying causes of these emotional states, such as stress, technological advancements, and a desire for connection, and offers insights into how consumers will react and adapt. The graph focuses on three primary emotional states: 'Strategic Joy,' the pursuit of play and purpose; 'Witherwill,' a longing for freedom from responsibility; and 'Suspicious Optimism,' a cautious approach to technological advancements.","- Identifies and defines three core consumer emotional states for 2027: Strategic Joy, Witherwill, and Suspicious Optimism.
- Analyzes the drivers behind each emotional state, such as stress, boredom, and technological change.
- Provides insights into the aspirational emotions consumers will move towards, including serenity, inspiration, and inclusion.","- Marketing and Advertising
- Product Development
- Consumer Insights and Research","- What is 'Strategic Joy' and how can brands leverage it?
- How will 'Witherwill' impact consumer purchasing decisions in 2027?
- What are the implications of 'Suspicious Optimism' for tech companies?",,"- Consumer Behavior
- emotional Intelligence
- Future of technology
- Marketing and Branding
- Wellness and Mental Health",Global,"- Identifies 6 key emotions driving consumer behavior in 2027.
- Focuses on 3 primary emotional states: Strategic Joy, Witherwill, and Suspicious Optimism.
- Each emotional state is shaped by 3 core emotional drivers."
